combo,yc_thresh,btts_home,btts_away,weeks,win_rate,avg_odds,ev
HA+YC+BTTS,5.0,1.5,1.8,192,0.297,4.063,1.206
HA+YC+BTTS,3.5,1.5,1.5,194,0.294,4.063,1.194
HA+YC+BTTS,4.0,1.5,1.5,194,0.294,4.063,1.194
HA+YC+BTTS,4.5,1.5,1.5,194,0.294,4.063,1.194
HA+YC+BTTS,5.0,1.5,1.5,194,0.294,4.063,1.194
HA+YC+BTTS,6.0,1.8,1.5,159,0.296,4.039,1.194
HA+YC+BTTS,5.5,1.5,1.3,185,0.292,4.05,1.182
HA+YC+BTTS,6.0,1.8,1.3,164,0.293,4.036,1.181
HA+YC+BTTS,5.5,2.0,1.5,179,0.291,4.048,1.176
HA+YC+BTTS,3.5,2.0,1.5,190,0.289,4.057,1.174
HA+YC+BTTS,4.0,2.0,1.5,190,0.289,4.057,1.174
HA+YC+BTTS,4.5,2.0,1.5,190,0.289,4.057,1.174
HA+YC+BTTS,5.0,2.0,1.5,190,0.289,4.057,1.174
HA+YC+BTTS,5.5,1.8,1.3,185,0.286,4.05,1.16
HA+YC+BTTS,6.0,2.0,1.8,150,0.287,4.047,1.16
HA+YC+BTTS,3.5,1.5,1.3,197,0.284,4.061,1.154
HA+YC+BTTS,4.0,1.5,1.3,197,0.284,4.061,1.154
HA+YC+BTTS,4.5,1.5,1.3,197,0.284,4.061,1.154
HA+YC+BTTS,5.0,1.5,1.3,197,0.284,4.061,1.154
HA+YC+BTTS,6.0,2.0,1.5,159,0.283,4.039,1.143
HA+YC+BTTS,3.5,1.8,1.3,197,0.279,4.061,1.134
HA+YC+BTTS,4.0,1.8,1.3,197,0.279,4.061,1.134
HA+YC+BTTS,4.5,1.8,1.3,197,0.279,4.061,1.134
HA+YC+BTTS,5.0,1.8,1.3,197,0.279,4.061,1.134
HA+YC+BTTS,6.0,2.0,1.3,163,0.264,4.038,1.065
HA+YC+BTTS,3.5,2.0,1.3,196,0.26,4.063,1.057
HA+YC+BTTS,4.0,2.0,1.3,196,0.26,4.063,1.057
HA+YC+BTTS,4.5,2.0,1.3,196,0.26,4.063,1.057
HA+YC+BTTS,5.0,2.0,1.3,196,0.26,4.063,1.057
HA+YC+BTTS,5.5,2.0,1.3,184,0.261,4.052,1.057
HA+YC+YC,6.0,1.5,1.3,119,0.471,2.911,1.37
HA+YC+YC,6.0,1.5,1.5,119,0.471,2.911,1.37
HA+YC+YC,6.0,1.5,1.8,119,0.471,2.911,1.37
HA+YC+YC,6.0,1.8,1.3,119,0.471,2.911,1.37
HA+YC+YC,6.0,1.8,1.5,119,0.471,2.911,1.37
HA+YC+YC,6.0,1.8,1.8,119,0.471,2.911,1.37
